depth	ratio(N/Ti)
2e-10	0.957234
4e-10	0.957234
6e-10	0.957234
8e-10	0.957234
1e-09	0.957233
1.2e-09	0.957233
1.4e-09	0.957233
1.6e-09	0.957233
1.8e-09	0.957232
2e-09	0.957232
2.2e-09	0.957232
2.4e-09	0.957232
2.6e-09	0.957232
2.8e-09	0.957231
3e-09	0.957231
3.2e-09	0.957231
3.4e-09	0.957231
3.6e-09	0.95723
3.8e-09	0.95723
4e-09	0.95723
4.2e-09	0.95723
4.4e-09	0.95723
4.6e-09	0.957229
4.8e-09	0.957229
5e-09	0.957229
5.2e-09	0.957229
5.4e-09	0.957228
5.6e-09	0.957228
5.8e-09	0.957228
6e-09	0.957228
6.2e-09	0.957228
6.4e-09	0.957227
6.6e-09	0.957227
6.8e-09	0.957227
7e-09	0.957227
7.2e-09	0.957226
7.4e-09	0.957226
7.6e-09	0.957226
7.8e-09	0.957226
8e-09	0.957226
8.2e-09	0.957225
8.4e-09	0.957225
8.6e-09	0.957225
8.8e-09	0.957225
9e-09	0.957224
9.2e-09	0.957224
9.4e-09	0.957224
9.6e-09	0.957224
9.8e-09	0.957224
1e-08	0.957223
1.02e-08	0.957223
1.04e-08	0.957223
1.06e-08	0.957223
1.08e-08	0.957222
1.1e-08	0.957222
1.12e-08	0.957222
1.14e-08	0.957222
1.16e-08	0.957221
1.18e-08	0.957221
1.2e-08	0.957221
1.22e-08	0.957221
1.24e-08	0.957221
1.26e-08	0.95722
1.28e-08	0.95722
1.3e-08	0.95722
1.32e-08	0.95722
1.34e-08	0.957219
1.36e-08	0.957219
1.38e-08	0.957219
1.4e-08	0.957219
1.42e-08	0.957218
1.44e-08	0.957218
1.46e-08	0.957218
1.48e-08	0.957218
1.5e-08	0.957218
1.52e-08	0.957217
1.54e-08	0.957217
1.56e-08	0.957217
1.58e-08	0.957217
1.6e-08	0.957216
1.62e-08	0.957216
1.64e-08	0.957216
1.66e-08	0.957216
1.68e-08	0.957215
1.7e-08	0.957215
1.72e-08	0.957215
1.74e-08	0.957215
1.76e-08	0.957214
1.78e-08	0.957214
1.8e-08	0.957214
1.82e-08	0.957214
1.84e-08	0.957214
1.86e-08	0.957213
1.88e-08	0.957213
1.9e-08	0.957213
1.92e-08	0.957213
1.94e-08	0.957212
1.96e-08	0.957212
1.98e-08	0.957212
2e-08	0.957212
2.02e-08	0.957211
2.04e-08	0.957211
2.06e-08	0.957211
2.08e-08	0.957211
2.1e-08	0.95721
2.12e-08	0.95721
2.14e-08	0.95721
2.16e-08	0.95721
2.18e-08	0.957209
2.2e-08	0.957209
2.22e-08	0.957209
2.24e-08	0.957209
2.26e-08	0.957208
2.28e-08	0.957208
2.3e-08	0.957208
2.32e-08	0.957208
2.34e-08	0.957207
2.36e-08	0.957207
2.38e-08	0.957207
2.4e-08	0.957207
2.42e-08	0.957206
2.44e-08	0.957206
2.46e-08	0.957206
2.48e-08	0.957206
2.5e-08	0.957206
2.52e-08	0.957205
2.54e-08	0.957205
2.56e-08	0.957205
2.58e-08	0.957205
